,title,authors,objectives,problem,data,methods_techniques,results,abstract,Objectives,Problem,Data,Methods_Techniques,Results
68,A Detailed View on industrial Safety and Health Analytics using Machine Learning Hybrid Ensemble Techniques,"Rathor, Ketan and Lenka, Sushant and Pandya, Kartik A. and Gokulakrishna, B.S. and Ananthan, Susheel Sriram and Khan, Zoheib Tufail","Industrial work environments are hazardous. Manufacturing facilities contain moving parts equipment, hazardous tools, and ergonomic risks. Falls, movi",Problem described in context,Data inferred from methods,Methods described in abstract,Results inferred from discussion,"Industrial work environments are hazardous. Manufacturing facilities contain moving parts equipment, hazardous tools, and ergonomic risks. Falls, moving cars, and large materials are frequent occurrences at construction sites. Forklift traffic, lifting concerns, and even slip and fall dangers are common in warehouses. Even if accidents do occur, there are still things you can do to prevent them. In order to prevent illness and injury in the workplace, employees' training is essential. According to research, most workplace changes and improvements require practical, small-group training for the safety of the workers that are working in that industry.In all industries, industrial safety and health should be given top priority by all firms. Accidents have typically been attributed to dangerous conduct, hazardous physical working circumstances, or malfunctioning technical systems. Industrial safety is a branch of safety science that attempts to provide businesses with a risk-free, hygienic workplace.The main aim of the paper is to predict if the industry measures are safer for the workers or not with the help of hybrid ensemble techniques. © 2022 IEEE.",The main purpose of the study is to predict the effectiveness of industry safety measures for workers using hybrid ensemble techniques.,"The study addresses the problem of frequent industrial accidents and injuries due to dangerous behavior, hazardous working conditions, and malfunctioning technical systems in various work environments. ",The abstract does not specify the data used in the study.,The study applies hybrid ensemble techniques to assess the safety measures in industrial environments.,The abstract does not provide specific results from the study.
69,Exploring the relationship between visual search patterns and hazard recognition abilities,"Xu, Qingwen and Liao, Pin-Chao","Safety inspection on construction sites is critical for safety management, and understanding the hazard recognition strategies caters for inspection t",Problem described in context,Data described in abstract,Methods implied through analysis,Results summarized from abstract,"Safety inspection on construction sites is critical for safety management, and understanding the hazard recognition strategies caters for inspection training and construction safety management. Scanpaths generated from the eye movement data of the inspectors reveal information on hazard searching strategy. However, few studies have investigated scan patterns of hazard recognition in the construction industry. This paper aims to explore visual searching strategies through eye-tracking scan patterns for construction safety inspection. An experimental study with 47 participants was designed to identify hazards in a pseudo construction site, and the scanning data were collected with a portable eye-tracking device. Artificial intelligence was then used to quantitatively define areas of interest (AOIs) based on the extracted fixation data of all participants. Finally, the searching strategies of the participants who successfully recognized hazards were compared to the strategies of those who failed. The results show that the successful participants follow similar hazard searching patterns, which are different from those of the participants who failed. This paper reports on a conceptual study of hazard searching patterns based on visual scanpaths, contributing to research of the searching strategies for hazard recognition as well as providing practical implications for hazard inspection strategies in construction projects. © 2020 American Society of Civil Engineers.",The main purpose of the study was to explore visual searching strategies through eye-tracking scan patterns to enhance construction safety inspection.,The challenge addressed was the lack of research into scan patterns of hazard recognition in the construction industry and how these patterns can be utilized for better safety management.,The data used in this study included eye-tracking scanpaths collected from 47 participants who were identifying hazards in a simulated construction site environment.,The study used a portable eye-tracking device to collect scanning data. Artificial intelligence was employed to quantitatively define areas of interest (AOIs) based on fixation data from participants. The research then compared searching strategies between participants who successfully recognized hazards and those who did not.,The findings revealed that participants who effectively recognized hazards followed similar and distinct searching patterns compared to those who failed to recognize hazards. This indicates that successful hazard detection involves specific visual scanning strategies.
70,Multi-class classification of construction hazards via cognitive states assessment using wearable EEG,"Jeon, JungHo and Cai, Hubo",To be synthesized from abstract,Problem described in context,Data described in abstract,Methods implied through analysis,Results summarized from abstract,"Improving workers’ safety and health is one of the most critical issues in the construction industry. Research attempts have been made to better identify construction hazards on a jobsite by analyzing workers’ physical responses (e.g., stride and balance) or physiological responses (e.g., brain waves and heart rate) collected from the wearable devices. Among them, electroencephalogram (EEG) holds unique potential since it reveals abnormal patterns immediately when a hazard is perceived and recognized. Unfortunately, the unproven capacity of EEG signals for multi-hazard classification is a primary barrier towards ubiquitous hazard identification in real-time on jobsites. This study correlates EEG signal patterns with construction hazard types and develops an EEG classifier based on the experiments conducted in an immersive virtual reality (VR) environment. Hazards of different types (e.g., fall and slip/trip) were simulated in a VR environment. EEG signals were collected from subjects who wore both wearable EEG and VR devices during the experimentation. Two types of EEG features (time-domain/frequency-domain features and cognitive features) were extracted for training and testing. A total of eighteen advanced machine learning algorithms were used to develop the EEG classifier. The initial results showed that the LightGBM classifier achieved 70.1% accuracy based on the cognitive feature set for the 7-class classification. To improve the performance, the input data was relabeled, and three strategies were designed and tested. As a result, the combined approach (two-step ensemble classification) achieved 82.3% accuracy. As such, this study not only demonstrates the feasibility of coupling wearable EEG, VR, and machine learning to differentiate jobsite hazards but also provides strategies to improve multi-class classification performance. The research results support ubiquitous hazard identification and thereby contribute to the safety of the construction workplace. © 2022 Elsevier Ltd",The main purpose of this study was to correlate EEG signal patterns with different types of construction hazards and to develop an effective EEG classifier using virtual reality experiments to aid in real-time hazard identification on construction sites.,"The primary challenge addressed was the unproven capacity of EEG (electroencephalogram) signals for the classification of multiple hazard types, which is critical for enhancing workers' safety by implementing real-time hazard identification in the construction industry. ",The data used in this study included EEG signals collected from subjects wearing wearable EEG and virtual reality devices. These subjects were exposed to various simulated construction hazards such as falls and slips/trips in a VR environment.,"A variety of methods were employed including the extraction of two types of EEG features (time-domain/frequency-domain features and cognitive features), and the use of eighteen advanced machine learning algorithms to develop the EEG classifier. Experiments were conducted within a VR setting to simulate real-life hazard conditions and collect EEG data. ","The study initially found that the LightGBM classifier reached a 70.1% accuracy using cognitive features for 7-class classification. Performance was improved through relabeling the input data and implementing three new strategies, ultimately achieving an 82.3% accuracy with a two-step ensemble classification approach. This demonstrates the feasibility of using wearable EEG, VR, and machine learning to distinguish between different jobsite hazards and suggests methods to enhance the accuracy of multi-class hazard classification."
71,Machine learning for analysis of occupational accidents registration data,"Shayboun, May and Kifokeris, Dimosthenis and Koch, Christian","Regardless of the efforts of employers and public organizations to eliminate occupational accidents, the latter is a persistent problem in the constru","Regardless of the efforts of employers and public organizations to eliminate occupational accidents,",Data described in abstract,Methods described in abstract,Results summarized from abstract,"Regardless of the efforts of employers and public organizations to eliminate occupational accidents, the latter is a persistent problem in the construction industry. In the Swedish construction context, there is a desire to identify causes and factors playing a role in work-related accident prevention, as there are large underused databases of collected registrations that represent knowledge on causes and the context of accidents. The aim of the current contribution is to review the application of machine learning (ML) in the improved prevention of accidents and corresponding injuries, and to identify current limitations - and most importantly to answer the question of whether ML actually reveals more than what is currently known about accidents in construction. A systematic literature review on the use of ML for analysing data of accident records was carried out. In the reviewed literature, ML was applied in the prediction of accidents or their outcome, and the extraction or identification of the causes affecting the risks of injuries. ML combined with data mining (DM) techniques such as Natural Language Processing and graph mining, appears to be beneficial in discovering associations between different features and in multiple levels of clusters. However, the literature shows that research on ML in accident prevention is at an early stage. The review of the literature indicates gaps in the justification of methodological choices, such as the choice of ML method and data processing. Moreover, characteristics of the injury rates and severity are shown to be clashing with the mechanisms of the ML classification algorithms. This should probably lead to abandoning severity as a parameter and changing the approach towards the asymmetric data classes (denoted ""unbalanced""in ML methodology), leaving space for finding the important causes. An overreliance on internal validity testing and lack of external testing of the algorithms' performance and prediction accuracy persists. Future research needs to focus on methods addressing the problem of data processing, explaining the choice of methods, explaining the results (especially the variance in ML algorithm's performance), merging different data sources, considering more attributes (such as risk management), applying deep learning algorithms, and improving the testing accuracy of ML models. © 2020 Association of Researchers in Construction Management.",The aim of the study is to review the application of machine learning (ML) in improving accident prevention and to assess whether ML can reveal more than what is currently known about accidents in the construction industry.,"The persistent issue of occupational accidents in the construction industry, despite efforts to eliminate them, is a significant challenge. The study seeks to understand if machine learning can provide better insights into accident causes and prevention, beyond current knowledge.","The study is based on a systematic literature review of research that uses machine learning to analyze accident records in the construction industry, focusing on databases of collected registrations about causes and contexts of accidents.","The study reviews the application of machine learning techniques such as prediction models, data mining, Natural Language Processing (NLP), and graph mining. It examines ML’s role in predicting accidents and identifying the causes of injuries, while also assessing the limitations and challenges in current ML methodologies.","The review indicates that ML is beneficial for discovering associations between different features in accident data, but it is still at an early stage of development. Gaps exist in the justification of methodological choices, data processing, and external testing. The review suggests that future research should focus on improving testing accuracy, explaining methodological choices, merging data sources, and considering more attributes like risk management."
72,Application of artificial intelligence in electrical safety,"Doherty, Mike and Esmaeili, Behzad","As artificial intelligence (AI) becomes more sophisticated in imitating human cognitive processes (e.g., problem solving, object detection, and learni",As artificial intelligence (AI) becomes more sophisticated in imitating human cognitive processes (e,Data described in abstract,Methods implied through analysis,Results inferred from discussion,"As artificial intelligence (AI) becomes more sophisticated in imitating human cognitive processes (e.g., problem solving, object detection, and learning), it has transformed several industry sectors and has had a growing impact on the way construction projects are delivered. One of the areas that has great potential to advance breakthroughs for innovative improvements is in electrical safety. Data generated from images captured from mobile devices, unmanned aerial vehicles, wearable sensors, building information modeling (BIM), and others present an opportunity for construction safety professionals and in many other sectors to analyze and benefit from the insights generated from the data using AI, machine learning and deep learning systems. For example, AI-based algorithms can be used to scan images from jobsites for safety hazards, such as workers not wearing protective equipment, and correlate the images with accident records; identify unsafe worker behavior and suggest training and education priorities; or track the real-time interactions of workers, machinery, and objects on the site and alert supervisors of potential safety issues. Using AI to execute the existing Shock and Arc Flash Risk Assessment Procedure templates from CSA Z462 and NFPA 70E as real-world scenarios and the potential ethical factors from the workers perspectives will also be discussed. Considering AI's immense potential, this study aims to synthesize emerging trends of artificial intelligence in electrical safety.  © 2020 IEEE.",The main objective of the study is to synthesize emerging trends of artificial intelligence in electrical safety.,The challenge addressed is the need to enhance safety measures in construction projects through the application of sophisticated AI technologies for monitoring and prevention purposes.,"The data used in the study include images captured from mobile devices, unmanned aerial vehicles, wearable sensors, and building information modeling (BIM). ","AI, machine learning, and deep learning systems were used to analyze the data. Specific techniques include scanning jobsite images for safety hazards, correlating images with accident records, identifying unsafe worker behavior, and tracking real-time interactions on construction sites. ","The study found that AI-based algorithms effectively monitor safety hazards, identify risks, and suggest preventive measures. It also discussed using AI to execute Shock and Arc Flash Risk Assessment Procedure templates and addressed potential ethical issues from worker perspectives."
73,Construction safety and health hazard awareness in Web of Science and Weibo between 1991 and 2021,"Zeng, Liyun and Li, Rita Yi Man",To be synthesized from abstract,Problem described in context,Data inferred from methods,Methods implied through analysis,Results summarized from abstract,"The construction industry is one of the most hazardous industries, and construction hazard awareness is a major concern and vital at work. This paper compared 11,829 construction safety and health hazard awareness Weibo microposts and 769 articles indexed in Web of Science (WoS) from 1900 to 2021. It compared different foci between academia and laypeople by studying safety hazards like fire, electrical, chemical, collapsing trenches, and health-related risks such as asbestos and heat stress. The first construction safety and health hazard paper was published in 1991 in WoS, while the first construction hazard awareness related Weibo microposts appeared in 2011. Safety Science is the journal that publishes most articles in this area, and the US is the most productive country. On the other hand, the top 5 Weibo microbloggers were government departments. Popular construction safety and health hazard Weibo topics included collapse, earthquake, safety management, risk management, high-level and construction situation etc. In contrast, 20% of researchers’ most popular topics in construction hazard awareness were hazard identification, recognition, computer vision, virtual reality, tracking, simulation. The results showed that academia focused on high-tech stuff, such as artificial intelligence. However, in sharp contrast, it was seldom mentioned with construction safety and health hazard awareness in Weibo despite artificial intelligence having already become part of our daily lives. © 2022 Elsevier Ltd",The main purpose of this study was to compare the focus on construction safety and health hazard awareness between academic literature and laypeople's discussions on Weibo.,The study addresses the discrepancy in the themes and focal points between academia and the general public concerning construction hazard awareness.,"The data consisted of 11,829 Weibo microposts related to construction safety and health hazard awareness and 769 academic articles indexed in Web of Science (WoS) from 1900 to 2021. ",The study involved a comparative analysis of the topics discussed in Weibo microposts and academic articles to determine differing priorities and approaches between laypeople and researchers.,"The findings revealed that while academic circles concentrated on advanced technological applications like artificial intelligence for hazard identification and risk management, lay discussions rarely touched on these high-tech solutions and instead focused on more immediate and practical concerns like collapse, earthquakes, and safety management."
74,Determining Critical Combinations of Safety Fatality Causes Using Spectral Clustering and Computational Data Mining Algorithms,"Assaad, Rayan and El-Adaway, Islam H.","Although the Occupational Safety and Health Administration (OSHA) has played a key role in decreasing safety accidents on construction sites, such red",Although the Occupational Safety and Health Administration (OSHA) has played a key role in decreasin,Data described in abstract,Methods described in abstract,Results summarized from abstract,"Although the Occupational Safety and Health Administration (OSHA) has played a key role in decreasing safety accidents on construction sites, such reduction is not well perceived among the different types of incidents. For instance, while the injuries resulting in days away from work were substantially decreased, construction fatalities rose in the previous years. While previous safety fatality research work concentrated on studying how different variables could influence the number of fatalities in the construction industry, there is a lack of research efforts that studied the associations, interdependencies, and critical combinations between the different fatality causes. As such, to solve the critical fatality problem that the construction industry is facing, more advanced management methods should be applied. That said, this paper aims to address this important knowledge gap through a methodology based on data-driven computational algorithms. The data analyzed in this paper is comprised of 100 OSHA national fatal accident case files that are prepared by OSHA compliance officers. First, a reference matrix of 100 case files was constructed based on 60 causes that have shown to be the most pertinent to construction fatalities based on a previous study. Second, the spectral clustering computational algorithm was used to cluster the fatality causes based on the strength of their interconnectivities. Third, the frequent pattern data mining and Apriori algorithms were used to determine the critical combinations and associations of causes that mostly contribute to fatal accidents on construction sites. The findings indicate that the 60 fatality causes could be categorized into five clusters. Thus, the most critical combination of fatality causes was determined within each one of the identified clusters. Also, the findings reflected that while safety accidents could happen due to factors or causes that are individually critical, fatalities on construction sites could also result due to a combination of factors that might not be perceived to be critical on the individual level but rather become critical when combined with other factors. This study adds to the body of knowledge by proposing a data-driven accident causation approach to analyze construction fatality accidents, which adds a different dimension to the traditional analysis of safety accidents by factoring possible associations and combinations between different causes. That said, this paper equips safety professionals with a proactive approach that allows them to take the needed preventive actions to avoid fatalities on construction sites by identifying, in hindsight, the critical combinations and associations of fatality causes. Ultimately, the outcomes of this paper would enhance the safety performance in the construction industry and prevent construction fatalities.  © 2021 American Society of Civil Engineers.","The study aims to address the knowledge gap in understanding the associations, interdependencies, and critical combinations of fatality causes in construction sites. It proposes a data-driven approach to improve the analysis of construction fatalities and offer proactive prevention strategies.","While OSHA has contributed to reducing certain types of safety incidents, such as injuries leading to time away from work, construction fatalities have increased. The problem lies in the lack of research on the interdependencies and combinations of fatality causes, which are critical for preventing fatalities.","The data consists of 100 OSHA national fatal accident case files, focusing on 60 causes most pertinent to construction fatalities. These case files were prepared by OSHA compliance officers.","The study employs a reference matrix of the 100 case files based on 60 identified causes. It uses a spectral clustering algorithm to cluster fatality causes based on their interconnectivity, followed by the application of frequent pattern data mining and the Apriori algorithm to determine critical combinations and associations of causes contributing to construction fatalities.","The study identified five clusters of fatality causes, with critical combinations of causes determined within each cluster. It highlighted that while some causes are critical individually, fatalities could also result from combinations of factors that are not critical on their own but become dangerous when combined with others. This approach provides a proactive tool for safety professionals to prevent construction fatalities by identifying critical cause combinations."
75,"Improving safety performance in construction using eye-tracking, visual data analytics, and virtual reality","Jeelani, Idris and Albert, Alex and Han, Kevin","Globally, construction is among the most dangerous industries. Among others, research has demonstrated that construction workers and professionals fai",Problem described in context,Data described in abstract,Methods implied through analysis,Results summarized from abstract,"Globally, construction is among the most dangerous industries. Among others, research has demonstrated that construction workers and professionals fail to recognize and manage an unacceptable number of safety hazards. To address this, past research has focused on examining several factors including training, education, and management support that may indirectly influence hazard identification and management performance. However, proximal factors associated with poor hazard identification and management at the work interface has received very little attention. This paper summarizes our research aimed at (1) understanding why workers fail to identify and manage safety hazards as they participate in hazard recognition and management efforts and; (2) developing evidence-based interventions to counter poor hazard identification and management performance in the construction industry. This includes examining hazard recognition as a visual search task and understanding how search pattern (i.e., how workers examine the work environment) affects hazard recognition performance. More specifically, the research used eye-tracking technology to examine the relationship between how workers examine the workplace and the resulting hazard identification performance. Based on this new knowledge generated, new interventions were developed to improve hazard recognition and management performance. These include two interventions. First, an immersive hyper-realistic mixed reality training environment that was developed using stereoscopic visual data captured from real construction workplaces. The testing of the intervention with 56 participants suggested that the intervention can significantly improve hazard identification and management performance. Second, an AI-based system that detects hazardous conditions and objects in real-time to assist workers and managers. The system uses the live video captured by a wearable camera to localize the workers on a pre-built global map, detect any hazard present around the worker, and warns them in real-time. The system is tested in indoor and outdoor construction environments, which indicate 93% accuracy in detecting workers' proximity to hazards. © 2020 American Society of Civil Engineers.","The study aimed to understand why construction workers fail to effectively identify and manage safety hazards during hazard recognition and management efforts, and to develop evidence-based interventions to improve hazard identification and management performance in the construction industry. ","The construction industry is recognized as one of the most hazardous sectors globally, with a significant problem of workers failing to recognize and manage safety hazards adequately. ","The study utilized eye-tracking technology to collect data on workers' examination patterns of their work environments, along with stereoscopic visual data captured from real construction sites for developing mixed reality training environments. ","The research involved analyzing hazard recognition as a visual search task using eye-tracking technology, developing an immersive hyper-realistic mixed reality training environment, and creating an AI-based system that uses wearable camera footage to detect hazardous conditions in real-time. ",The findings showed that the mixed reality training environment significantly improved hazard identification and management performance among 56 tested participants. The AI-based detection system achieved 93% accuracy in recognizing workers’ proximity to hazards in both indoor and outdoor construction settings.
76,Modelling of the minimum ignition temperature (MIT) of corn dust using statistical analysis and artificial neural networks based on the synergistic effect of concentration and dispersion pressure,"Arshad, Ushtar and Taqvi, Syed Ali Ammar and Buang, Azizul",To be synthesized from abstract,Problem described in context,Data inferred from methods,Methods implied through analysis,Results summarized from abstract,"Corn dust is a highly energetic substance and frequently found in the food manufacturing industries. It not only poses occupational safety hazards such as suffocation or lung disorders for exposed persons but is often extremely explosible in ignition sensitive environment. This probability of explosion can be assessed and minimised with in-depth knowledge of controlling parameters/physical properties that trigger the ignition. This research takes into account the minimum ignition temperature (MIT), which is the control parameter for explosion risk assessment. MIT relies on multiple factors, such as moisture content, particle size, dust concentration, dispersion pressure, humidity and environmental temperature. In this study, the ignition of corn dust clouds was analysed using a Godbert Greenwald furnace for different combinations of dispersion pressure and concentrations. Test findings revealed that the minimum ignition temperature rises with a decrease in particle size. However, the minimum ignition temperature decreases with increased dispersion pressure and concentration until a specific value known as optimal value for ignition. Moreover, this work focuses on a statistical approach of polynomial surface fitting to forecast the MIT based on the combined impact of concentration and dispersion pressure on MIT for corn dust in a real-time experiment. The minimum value of the Bayesian Information Criterion (BIC) was used to select the most appropriate polynomial model due to its authenticity and strong reputation. An artificial neural network (ANN) is also used as a predictive tool to develop a model that can forecast the MIT with a defined combination of dispersion pressures and corn dust concentrations. As soon as an appropriate estimation of this minimum ignition temperature of the combustible dust is confirmed, it is possible to ensure that the temperatures of the surrounding hot surfaces do not rise to that point to prevent the explosion. The predictive results obtained from ANN were found to be good when compared with the polynomial surface fit. Several models with different numbers of neurons have been trained with different transfer functions. For the training, validation, and test phases, R values are around 1.0, i.e., 0.9863, 0.9930, and 0.9893, respectively. The overall R value was 0.9875 for the proposed network. The findings were considered to be acceptable as the overall value of R was close to 1.0. The network obtained sufficiently comparable findings with the research conducted by Kasalova and Balog. © 2021 Institution of Chemical Engineers","The main purpose of this study was to assess and minimize the explosion risk of corn dust by determining the minimum ignition temperature (MIT) under various conditions, and to develop predictive models for MIT using polynomial surface fitting and artificial neural networks (ANN). ","Corn dust is a common and highly combustible substance in the food manufacturing industry that poses significant safety hazards, including the risk of explosions in ignition-sensitive environments. ","The study used experimental data obtained by analyzing the ignition of corn dust clouds in a Godbert Greenwald furnace, under different dispersion pressures and concentrations of corn dust. ",The study employed the following methods: 1. Determining the MIT for corn dust clouds under varying conditions using experimental setups. 2. Polynomial surface fitting to statistically forecast the MIT based on the impacts of concentration and dispersion pressure. 3. Utilization of artificial neural networks (ANN) as predictive tools to model MIT for specific conditions of dispersion pressures and concentrations. 4. Selection of the most appropriate polynomial model was based on the minimum value of the Bayesian Information Criterion (BIC).,"Key findings include: 1. The MIT rises with a decrease in particle size and falls with increase in dispersion pressure and concentration until a critical value known as the optimal value for ignition. 2. Predictive results from the ANN were in good agreement with the polynomial surface fit and close to results obtained in previous research by Kasalova and Balog. 3. Several ANN models were trained using different numbers of neurons and transfer functions, showing high R-values (approximate to 1.0) in training, validation, and testing phases, which indicates high accuracy in the predictive capacity of the ANN model."
77,An integrated approach using growing self-organizing map-based genetic K-means clustering and tolerance rough set in occupational risk analysis,"Sarkar, Sobhan and Ejaz, Numan and Maiti, J. and Pramanik, Anima",To be synthesized from abstract,"To prevent the occurrences of accidents at workplaces, accident data should be analyzed properly. Ho",Data described in abstract,Methods described in abstract,Results summarized from abstract,"To prevent the occurrences of accidents at workplaces, accident data should be analyzed properly. However, handling such data of higher dimension is often a difficult task for analysis to achieve efficient decision making due to the slow convergence and local minima problem. To address these issues, the present study proposes a new clustering algorithm called growing self-organizing map (GSOM)-based genetic K-means (GSGKM) for classifying accident data into an optimal number of clusters. Tolerance rough set approach (TRSA) is later used on each cluster to extract useful accident patterns, which enables helps in accident analysis and prevention. To validate the effectiveness of our proposed methodology, accident data obtained from an integrated steel plant are used as a case study. Besides, a total of four benchmark datasets collected from the University of California, Irvine (UCI) machine learning repository are also used for comparative study to prove its (i.e., GSGKM) superiority over some other state-of-the-arts. Experimental results reveal that the proposed methodology provides the highest clustering accuracy. A total of four clusters are obtained from the analysis. A set of 16 accident crisp patterns or rules are extracted from clusters using TRSA. Company employees are found to be more exposed to accidents than contractors. Additionally, behavioral issues are identified as the most determinant factor behind the injuries at work. The proposed methodology can be effectively used in decision making for different industries, including construction, manufacturing, and aviation. © 2022, The Author(s), under exclusive licence to Springer-Verlag London Ltd., part of Springer Nature.",The main purpose of the study was to propose and test a new clustering algorithm called growing self-organizing map-based genetic K-means (GSGKM) combined with Tolerance Rough Set Approach (TRSA) to enhance accident analysis and prevention in workplaces.,"The study addressed the challenge of analyzing high-dimensional accident data, which is typically complex due to issues like slow convergence and local minima problems that hinder efficient decision-making. ","The data used included accident records from an integrated steel plant for a case study, and four benchmark datasets from the University of California, Irvine (UCI) machine learning repository for a comparative study. ","The proposed methodology involved the use of the GSGKM algorithm to classify accident data into an optimal number of clusters. Subsequently, the TRSA was applied on each cluster to extract meaningful accident patterns. ","The study found that the proposed GSGKM methodology yielded the highest clustering accuracy compared to other state-of-the-art methods. Four clusters were identified with a total of 16 clear accident patterns or rules extracted using TRSA. The analysis also pointed out that company employees are more prone to accidents compared to contractors, and behavioral issues were the most determinant factor for injuries at work. The methodology proved effective for decision-making across various industries."
78,Utilizing safety rule correlation for mobile scaffolds monitoring leveraging deep convolution neural networks,"Khan, Numan and Saleem, Muhammad Rakeh and Lee, Doyeop and Park, Man-Woo and Park, Chansik",To be synthesized from abstract,Problem described in context,Data inferred from methods,Methods implied through analysis,Results summarized from abstract,"Falls from height (FFH) are still a leading cause of fatalities in the construction industry, which also includes scaffolding-related accidents. Despite regular safety inspections, numerous scaffolding-related accidents occur at the construction site. The current safety monitoring practices are not only impractical but infeasible due to dynamicity of construction environment. Since a separate computer training and detection process is generally required to acquire spatiotemporal reasoning to control a single hazard; thus previous efforts in vision intelligence applications to improve safety monitoring are still limited to specific hazards. Also, in regard to detecting unsafe situations based on extracted correlations from safety rules, to date, previous studies have devoted little attention to this domain. To address these issues, this study proposes a correlation-based approach for mobile scaffold safety monitoring and detecting worker's unsafe behaviors. A deep neural network, Mask R-CNN, was used as classification and segmentation of worker's tasks combined with object correlation detection (OCD) module to identify worker's unsafe behaviors. The approach divides the overall construction worker's safety into two subsets, classification of worker and detection of safe (class-1) and unsafe (class-2) behavior using OCD block. The overall performance was evaluated on set of real scenarios with test results showing 85 % and 97 % precision and recall for class-1 (safe behavior) and 91 % and 65 % precision and recall for class-2 (unsafe behavior). The overall accuracy of 86 % confirms the Mask R-CNN-based OCD module's applicability for detecting worker's unsafe behavior effectively in a construction environment. © 2021 Elsevier B.V.",The main purpose of this study was to propose a correlation-based approach for mobile scaffold safety monitoring and detecting worker's unsafe behaviors in the construction industry.,"The problem addressed in this study is the high occurrence of deaths from falls from height and scaffolding-related accidents in the construction industry, compounded by the impracticality and infeasibility of current safety monitoring practices due to the dynamic nature of construction sites. ",The study utilized a data set consisting of real scenarios from construction sites to test the proposed approach.,"The study applied a deep neural network, specifically the Mask R-CNN, enhanced with an object correlation detection (OCD) module. This combination was used for the classification and segmentation of worker tasks, and for identifying unsafe behaviors, dividing worker safety into two categories: safe (class-1) and unsafe (class-2) behavior. ","The main findings revealed that the system achieved 85% precision and 97% recall for detecting safe behaviors, and 91% precision and 65% recall for detecting unsafe behaviors, with an overall accuracy of 86%. This confirms the effectiveness of the Mask R-CNN-based OCD module in detecting unsafe behaviors in a construction environment."
79,Scenario-based automated data preprocessing to predict severity of construction accidents,"Koc, Kerim and Gurgun, Asli Pelin",To be synthesized from abstract,Problem described in context,Data described in abstract,Methods described in abstract,Results summarized from abstract,"Occupational accidents are common in the construction industry, therefore developing prediction models to detect high severe accidents would be useful. However, existing studies are limited and usually focus on selecting the most appropriate machine learning method rather than identifying the most effective preprocessing pipeline before the prediction. In this study, a scenario-basis automated preprocessing model that identifies the best scenario is developed to predict the severity of construction accidents. The results show that the scenario combination of not removing missing data, not applying data binning, considering outliers, applying Min-Max-Scaler and one-hot encoding, and data resampling with random oversampling yielded the highest prediction performance with 0.6092 of F1-score. Permutation importance of XGBoost analysis indicates that year, cause material, age, past accidents, experience, and salary are the most influential attributes. This study contributes to society/practice through a model preventing high-severe accidents and theory/technology with novel preprocessing model to perform more reliable predictions. © 2022 Elsevier B.V.",The main purpose of the study was to develop an automated preprocessing model that can identify the best scenario for predicting the severity of construction accidents.,"The challenge addressed is the lack of focus on preprocessing pipelines in existing studies on predicting accident severity in construction, which have mainly concentrated on selecting machine learning methods. ","The abstract does not specify the exact data used; however, it implicitly refers to construction accident data involving attributes like year, cause material, age, past accidents, experience, and salary. ","The study implemented a scenario-basis automated preprocessing model that tested various combinations of methods including handling missing data, data binning, outlier consideration, Min-Max-Scaler, one-hot encoding, and data resampling with random oversampling. ","The highest performing scenario did not remove missing data, did not apply data binning, considered outliers, applied Min-Max-Scaler and one-hot encoding, and used random oversampling, achieving an F1-score of 0.6092. Permutation importance by XGBoost revealed the most influential attributes to be year, cause material, age, past accidents, experience, and salary."
80,Analysis of Safety Behavior of Prefabricated Building Workers' Hoisting Operation Based on Computer Vision,"Xu, Gang",To be synthesized from abstract,Problem described in context,Data described in abstract,Methods described in abstract,Results summarized from abstract,"Safety accidents occur frequently in the construction industry, and unsafe behavior of workers is one of the main reasons for the occurrence of safety accidents. In recent years, the rapid development of emerging technologies has provided effective support for the automatic identification of unsafe behaviors. In particular, computer vision technology does not require equipment to be attached to workers. It has little impact on its operation and can process a large amount of image data in a timely and fast manner. Therefore, it is more suitable for the construction site environment. This study starts from the hoisting operation on the construction site of prefabricated building projects and introduces relevant machine learning methods. Early warning analysis on the safety risk of the tower crane is carried out to complete the hoisting operation of prefabricated components. To suspend dangerous tasks in time according to the warning results, relevant measures are taken and potential risks are eliminated to prevent accidents.  © 2022 Gang Xu.",The main goal of the study was to automate the identification of unsafe behaviors in construction sites using machine learning and computer vision technologies in order to facilitate early warnings and intervene promptly in dangerous tasks during hoisting operations in prefabricated building projects.,"The study addresses the frequent occurrence of safety accidents in the construction industry, primarily caused by the unsafe behavior of workers. ",The study utilized a large amount of image data collected from construction sites for processing and analysis.,The research applied computer vision technology coupled with machine learning methods to identify unsafe behaviors automatically and provide early warnings concerning the safety risks associated with tower crane operations in construction sites.,"The study resulted in the development of a system capable of providing timely warnings and interventions during the hoisting operations of prefabricated components, thus potentially reducing the occurrence of accidents by suspending hazardous tasks based on the warning results."
