Objectives,Problem,Data,Methods_Techniques,Results
"The main purpose of this study was to propose and evaluate a risk assessment system using artificial intelligence (AI) to assess the postures of electric welders and identify muscle injury risks, thereby enhancing worker safety and quality of life in industrial settings. ","The study addressed the challenge of preventing muscle injuries among electric welders, a common issue in industries due to inadequate traditional risk assessment methods that rely heavily on human evaluation and expertise. ",The data used in the study involved the assessment of electric welders’ postures according to the Rapid Entire Body Assessment (REBA) standards. ,The study implemented an AI-based risk assessment system named RASMI (Risk Assessment System for Muscle Injuries) that utilizes REBA standards to evaluate and warn electric welders about risky postures that may lead to muscle injuries. ,"The results indicated that the AI-based system could effectively and accurately evaluate the risk of muscle injuries in electric welders. Additionally, it was found that electric welders positively perceived the use of AI technology, which provides them with posture adjustment warnings, potentially improving their long-term health and wellness."
"The main goal of this study was to develop an integrated monitoring system for individualized environmental risk assessment and management in the workplace, aiming to enhance occupational safety by utilizing computational technologies suitable for Industry 5.0. ","The study addressed the challenge of assessing and managing individualized environmental risks in the workplace, aiming to improve decision-making regarding professional activities and long-term safety planning. ","The study utilized a synthetic dataset generated specifically for this research, as no public datasets were available with the comprehensive sensor data required to train artificial intelligence models. ",The system includes monitoring devices alongside a server-based web application for employers and a mobile application for workers. The system uses machine learning classifiers and fixed rules in a recommendation system application to assess risk from sensor data and generate actionable recommendations based on workers' health histories and environmental exposures. ,"The study demonstrated the viability of various machine learning models in creating an effective recommendation system for occupational safety, facilitating enhanced decision-making based on individual health profiles and real-time environmental monitoring."
"The main purpose of this study was to explore the problems that arise when AI technologies, aimed at ensuring trustworthiness, are successfully implemented in the food system, with a broader applicability to other industries. ","The study addresses the challenge where trustworthy AI, despite performing as expected in preventing bias and ensuring data privacy, inadvertently increases company liability and expenses, which may hinder the adoption of these technologies. ",The study utilized qualitative data gathered from interviews and existing literature relevant to AI applications in the food system and their associated legal and adoption challenges. ,The study applied analytical methods to evaluate the insights from interviews and literature to discuss vulnerabilities to liability and obstacles in technology adoption related to trustworthy AI. ,"The findings indicate that the generation of trustworthy AI technologies raises unintended consequences such as increased liabilities and operational costs which, in turn, could discourage organizations from adopting these technologies. Additionally, achieving truly trustworthy AI requires not just technological solutions, but also cooperation in social, cultural, and political domains."
N/A,N/A,N/A,N/A,N/A
The main purpose of the study was to develop a digital humanization methodology using Human-Cyber-Physical Systems (HCPS) and Machine Learning (ML) to evaluate health and safety risks in the manufacturing industry. ,"The problem addressed was the heavy reliance of the manufacturing industry on human labor, which poses significant health and safety challenges for operators. ",The data utilised in the study consisted of real-time virtual representations generated through sensors capturing the physical condition and behavior of the operator. ,"The methodology employed involved cutting-edge sensors, advanced machine learning algorithms, and scenario simulations to create virtual replicas of tangible systems for assessing risks. ","The study successfully demonstrated that the digital humanization methodology could characterize risks by estimating their magnitude, priority, and occurrence, thus enabling early detection and proactive mitigation of potential hazards in manufacturing environments."
"The main purpose of this study was to develop and enhance a mining safety helmet system by incorporating a network that enables real-time monitoring and communication between miners, supervisors, and control stations, to improve underground mine safety. ","The study addresses the significant issue of accidents and dangerous events in underground mines, which can lead to severe consequences and directly impact the safety of miners. The existing systems lack efficient real-time monitoring and communication capabilities necessary for quick response and prevention of accidents. ","The study utilized real-time environmental data surrounding the miner, which was collected and transmitted via IoT technology. Additionally, health data concerning cardiovascular risk factors was gathered for analysis using machine learning techniques. ","The proposed system employed an integrated approach using multiple sensors (Gas Sensor, DHT11 Sensors, accelerometer, vibration, and IR sensors) for environmental monitoring. Machine learning techniques, specifically logistic regression and neural networks, were applied to analyze health data related to cardiovascular disease risk, improving predictive capabilities for the system. ","The new helmet system enabled real-time monitoring of environmental conditions and miner health, wirelessly communicating this data for immediate action. The machine learning analysis identified significant risk factors for cardiovascular disease, which were then used as inputs for a neural network model to enhance the prediction and preventive measures against health-related issues in miners."
The main purpose of this study was to develop a machine learning-based decision support system to effectively analyze extensive unstructured text data of accident reports in the petroleum industry to improve risk factor analysis and prioritization. ,"The challenge addressed was the prevalence of unstructured text in accident reports in the petroleum industry, which conventional analysis techniques struggle to process efficiently due to their reliance on experts' knowledge and the time-consuming nature of traditional methods. ",The data used in the study included accident reports released by petroleum industries in India. ,"A hybrid methodology was applied, combining improved text-mining techniques and an unbiased group decision-making framework to merge objective weightings derived from text mining with subjective weightings based on expert opinions. Contextual word embedding models and term frequencies were utilized to extract key clusters of risk factors, and the best-worst method was employed to convert experts' and employees' opinions into weights. ",The study successfully extracted five important clusters of risk factors comprising more than 32 risk sub-factors and demonstrated that the machine learning-based framework could significantly reduce analysis time while enhancing accuracy in classifying and prioritizing risk factors in the petroleum industry. The framework also showed potential for application to accident data from other industries.
"The main purpose of this study was to develop a national, data-driven safety management framework aimed at predicting accident outcomes to identify the precursors of fatalities and minimize fatal accidents in the construction industry. ","The study addressed the high frequency and significant risk of occupational accidents in the construction industry, highlighting the need for early intervention and a proactive approach to safety risk management. ","The study utilized a national dataset of 338,173 occupational accidents recorded in the construction industry across Turkey. ",The random forest algorithm paired with particle swarm optimization was employed for accident outcome prediction. Interpretability of the model was enhanced using the game theory-based Shapley additive explanations (SHAP) approach. ,"The proposed algorithm demonstrated satisfactory performance in detecting construction workers at risk of fatality. SHAP analysis revealed that both company-related factors (such as number of past accidents and number of workers in the company) and worker-related factors (such as age, daily wage, experience, shift, and past accident history) played crucial roles in fatality risk identification. The study findings were used to develop a construction safety management plan that could be implemented on construction sites to identify workers and conditions most susceptible to fatal accidents, aiming to improve safety management practices by addressing the root causes of severe accidents."
"The main purpose of this study was to provide an overview of management strategies for sugar dust in the global sugar industry, aiming to enhance worker safety and minimize the risk of explosions. ","The study addressed the significant risks posed by sugar dust, including its potential for causing explosions and fires in the sugar industry, thereby impacting workers' safety and health. ",The article does not specify any primary data collection but appears to synthesize existing knowledge and practices regarding sugar dust management. ,"Various existing methods such as dust collectors, air handling systems, and proper housekeeping procedures were discussed. Moreover, advanced technological solutions like electrostatic precipitators, high-efficiency particulate air filters, and self-cleaning dust collection systems were examined. The role of artificial intelligence and nanotechnology in managing sugar dust concentrations was also explored. ","It was found that the implementation of robust safety measures and training programs can significantly reduce the economic and environmental impacts of dust explosions. Recommendations for future measures include enhanced regulation, increased investment in technology and research, and improved collaboration among industry stakeholders to further mitigate hazards and ensure the safety and efficiency of industry operations."
"The primary objective of this study was to monitor and enhance the safety of workers on industrial shop floors using Industry 4.0 technologies, including IoT and AI. ","The challenge addressed was the need to ensure the safety of workers handling rotating machinery and working in industrial environments, which is complex and requires continuous monitoring. ",The study utilized training datasets for deep learning TensorFlow architecture and real-time data captured from RaspiCam sensors. ,"Single-board computers (Raspberry Pi and Jetson Nano) equipped with camera-based sensors were used for monitoring. These computers applied deep learning models using TensorFlow to assess the proper use of safety gear like goggles, masks, and helmets. The performance and computational efficiency were also analyzed, with acknowledgments managed through firebase cloud architecture. ","Key findings included the computing time of Raspberry Pi and Jetson Nano at 19 ms and 6 ms respectively, with a total round-trip acknowledgment time to workers of 16 ms, thus proving the effectiveness of the system in real-time safety monitoring on industrial floors."
The study aimed to enhance text data pre-processing and optimize machine learning algorithms to create an attribute factor-based occupational accident severity prediction framework that maps characteristic attributes to accident severity categories. ,"The challenge addressed was the need for improved automated, semi-supervised prediction of occupational accident outcomes using unstructured textual data. ","The study utilized unstructured textual data from collapse accidents in construction engineering, which ranks as the third most serious occupational problem. ",The study applied machine learning techniques with an emphasis on the Random Forest (RF) algorithm. It included handling class imbalance issues and improving text segmentation in data pre-processing. ,"The study found that after addressing data pre-processing issues, the modified dataset could predict injury severity with an accuracy reaching 82% across three simulated scenarios. The research also facilitated the identification of critical attribute components that explain the causal relationships leading to injury severity, providing actionable insights for accident prevention strategies."
The main purpose of this study was to assess the risks associated with close proximity arc welding and to develop an autonomous AI-powered welding system that can minimize these risks while maintaining the quality of the welding process. ,"The challenge addressed in this study was the significant risks arc welding poses to welders and co-workers, including exposure to UV/IR radiation, high temperatures, electrical hazards, toxic fumes, and noise. ","The study utilized data collected from various sensors integrated into the welding system, including UV/IR radiation sensors, temperature sensors, electrical sensors, gas sensors, noise sensors, and motion sensors. This data pertained to the welding environment and conditions. ","The research involved using artificial intelligence algorithms to analyze data received from the sensors. The data was first transmitted to a microcontroller and subsequently to a computer. Based on the analysis, the AI made adjustments to the welding process, such as controlling the welding power source, shielding gas flow, noise levels, and workstation position and orientation. ","The research found that the autonomous AI-powered welding system could significantly mitigate risks associated with arc welding. The study showed potential for improving safety and health outcomes for welders and co-workers, enhancing the efficiency, cost-effectiveness, and sustainability of the welding process in industries."
"The main purpose of this study was to enhance construction worker safety through the use of wearable devices, with an aim to assess and manage safety risks more effectively. ","The study addressed the challenge of increasing safety in the construction industry, which is critical for its sustainable development. It focused on preemptively identifying and reducing potential safety hazards faced by construction workers. ","The study utilized literature data related to wearable devices in construction safety, which was analyzed using CiteSpace 6.1 R4 software. ","The research involved a review of applications of common wearable devices across various industries, with a focus on construction safety. It also entailed visual analysis of literature data using software and a comprehensive review of the psychological state and safety evaluation methods used for construction workers. ","The study discussed several challenges and potential future research trends regarding wearable devices in the construction safety arena, highlighting its theoretical value in advancing construction safety risk management and improving risk control strategies."
The main purpose of the study was to present and evaluate a new warning system that integrates artificial intelligence and augmented reality to prevent accidents caused by operator inattention in industrial settings. ,"The study addresses the issue of inattention among operators in the industrial sector, which can lead to serious accidents, injuries, deaths, and financial losses. ",The study involved experiments conducted with a total of 39 participants. It used quantitative measurements to assess the effectiveness of the new warning system compared to traditional safety mats and conditions without warnings. ,"The experiment compared different types of augmented reality warnings—auditory, visual, and audiovisual. It utilized subjective questionnaires to test several hypotheses regarding the participants' preferences and acceptance of the warning systems. ","The study found high acceptance of the warning system among participants, with a preference for the audiovisual warnings over other types. The visual warning was preferred more than the auditory warning. These results suggest that an integrated audiovisual warning system could effectively reduce industrial accidents."
"The main purpose of the study was to evaluate how to manage the risks associated with the integration of AI technologies in the workplace to ensure they are both ethical and trustworthy, with the ultimate goal of safeguarding worker health, safety, and well-being. ","The study addressed the challenge of increasing hazards and risks to workers stemming from the rapid adoption of AI technologies in workplaces, including industrial robotics and algorithmic management. ","The abstract does not specify particular datasets used for the study; instead, it appears to focus on the conceptual analysis of risks from AI deployment in various industries and the examination of existing guidelines on trustworthy and ethical AI. ","The study reviewed the sources of risk from AI deployments, existing governmental and private sector guidelines, and proposed five risk management options to assure the safety and ethical standards of AI technologies in occupational settings. ","The main findings suggest that with the proper management strategies, future AI integration in workplaces can be beneficial rather than harmful. The study presented five risk management options aimed at ensuring that AI technologies used in workplaces are both trustworthy and ethical, thereby enhancing worker safety and health."
This study aims to understand underlying patterns in industrial accidents and predict future incidents using machine learning techniques. ,"The challenge addressed is the analysis of industrial accident data to identify risk factors, characterize accident severity levels, and forecast trends for enhanced safety management. ",The data used comprises industrial accident records from 12 manufacturing plants across 3 countries. ,"The study applies machine learning methods including classification, clustering, and time-series forecasting to analyze the accident data. ","The main findings include the prediction of accident severity focusing on less severe incidents, identification of distinct patterns in accident characteristics related to industry sectors and specific risks, and a forecast of a slight increase in accident counts. These insights support the development of targeted safety interventions and industry-specific safety protocols."
The main purpose of the study was to identify how cardiovascular stress is assessed in the workplace and to synthesize related evidence-based recommendations for preventative measures against occupational cardiovascular disease (CVD). ,"This study addresses the challenge of inconsistent evidence concerning the causal associations between workplace hazards and risk factors and occupational CVD, highlighting a significant knowledge gap. ",The study utilized a systematic search of the Google Scholar database to find publications related to the assessment of cardiovascular load (CVL) in various occupational settings. ,"The research methodology involved gathering metrics used to assess cardiovascular load, summarizing related risk factors, reporting on targeted occupational groups and activities, and compiling recommendations derived from the studies. ","The study found that most investigations used objective measures, predominantly Relative Heart Rate, to assess CVL. Identified risk factors included work environment factors, job features like work hours, task-related factors, and individual worker characteristics, with a focus on the industrial sector, especially manufacturing and construction. Few evidence-based recommendations were found, but some guidelines to promote safety and productivity were proposed, encouraging further research in this area."
"The study aims to explore the socio-legal challenges posed by integrating artificial intelligence (AI) into the UK construction industry, specifically regarding enhancements to health and safety protocols on construction sites. ",There is a significant research gap concerning the socio-legal dimensions of using AI to improve health and safety regulations in the construction sector. This study addresses the need to understand how existing legal frameworks can adapt to effectively include AI technologies. ,The study utilizes a systematic review following the PRISMA protocol to examine the implications and current state of legal and regulatory frameworks relevant to AI integration in construction. ,The research methodology involved a systematic review using the PRISMA protocol to assess existing legal and regulatory frameworks and their adequacy in managing the risks associated with AI integration in the construction industry. ,"The review found that while current legal and regulatory frameworks provide a strong basis for risk management, they do not sufficiently address the socio-legal impacts introduced by AI technologies. It highlighted the necessity for the Health and Safety Executive (HSE) to have standardised authority for overseeing AI use in construction, including data collection and conducting technical, empirical, and governance audits. The results emphasize the need for adequate resources and empowerment of the HSE to ensure effective oversight of AI implementation."
The main goal of this study was to construct a model for assessing the probability of dynamic failure occurrence in underground coal mines using machine learning analyses based on geochemical and petrographic data. ,This study addressed the challenge of identifying and understanding the correlative relationship between geochemical markers and the occurrence of dynamic failures in underground coal mining. ,"The data utilized in this study included a catalog of dynamic failure and control data from the Pennsylvania Coal Sample Databank, which was cross-referenced with accident data from the Mine Safety and Health Administration (MSHA). ","The study applied linear regression, random forest, dimensionality reduction, and cluster analyses to examine the data. These methods were used to determine the impact of various geochemical parameters on model performance and to explore patterns, relationships, and groupings in the data. ","The results showed that 7 out of 18 geochemical parameters had significant impacts on the model's performance. The precision values achieved were 85.7% for logistic regression models and 96.7% for random forest models. Cluster analysis, conducted after dimensionality reduction using a hierarchical clustering algorithm, resulted in four clusters, including one distinct dynamic failure cluster and three clusters primarily consisting of control group members with some dynamic failure instances."
"The main purpose of this study was to forecast potential occupational accidents in the shipbuilding industry using Artificial Neural Network (ANN), aiming to prevent accidents by enabling early detection and mitigation measures. ","The problem addressed in the study is the high rate of workplace accidents, which indicates a critical need for improved reliability analysis to prevent these incidents effectively. ","The study analyzed data from 146 occupational accidents involving ship electricians that occurred between 2012 and 2016, within a dataset of 1165 total occupational accidents in the shipbuilding industry. ","The study applied Artificial Neural Networks (ANN) to analyze past accident data and estimate the potential for accidents in the year 2017, focusing on early detection of hazardous situations. ","The ANN used in the study achieved high accuracy in predicting occupational accidents, demonstrating its effectiveness as a tool in forecasting and preventing workplace incidents in the shipbuilding industry."
The main goal of this study is to enhance workplace safety standards globally through the development and evaluation of advanced machine vision algorithms that can accurately detect safety equipment on construction sites. ,"The study addresses the high incidence of work-related fatalities and injuries, particularly in the construction industry, which are caused by occupational hazards and result in significant socioeconomic costs. ","The study primarily uses data related to the detection of safety equipment on construction sites, although specific dataset details are not mentioned in the abstract. ","The research employs two machine vision algorithms: Faster R-CNN, which utilises the ResNet-50 architecture for robust object detection, and Few-Shot Object Detection (FsDet), selected for its efficiency in handling large training datasets required for object recognition. Both algorithms were trained and fine-tuned to assess and compare their performance in detecting safety equipment. ","The main findings of the study include a comparative analysis of the Faster R-CNN and FsDet algorithms, focusing on their effectiveness in detecting safety equipment, although the abstract does not specify which algorithm performed better or how significant the improvements were."
"The main purpose of this study is to develop a worker safety management system tailored for industrial sites, focusing on proactively preventing danger and enhancing safety management. ","The challenge addressed is the heterogeneous resource constraints of edge devices at industrial sites and the need to ensure performance, data confidentiality, and system stability in worker safety technologies. ",The study used data from wearable sensors analyzing workers' biometric indicators. ,A federated learning (FL) technique involving convolutional neural networks and bidirectional long short-term memory (CNN-BiLSTM) mechanisms was employed to account for the resource constraints and enhance safety features by detecting activity anomalies and predicting dangerous situations. ,"The implementation of federated learning with the CNN-BiLSTM technique effectively enhances industrial safety by analyzing biometric data from wearable devices, aiding in the early detection and prediction of potential hazards on industrial sites."
"The main purpose of this study was to improve safety in industrial settings, specifically in steel manufacturing facilities, by detecting unsafe behaviors and monitoring compliance with personal protective equipment (PPE) and identifying hazardous areas. ","The study addressed the challenge of traditional safety protocols in industries being time inefficient, error-prone, and having limited visibility, which are insufficient in managing the spectrum of risks in processes like forging, machining, and smelting. ","The data used in the study included a benchmark dataset sourced from the ALASHRY steel factory, which was used to evaluate the effectiveness of the computer vision models developed. ","The study employed various computer vision models, including YOLOv8l, RT-DeTr, Faster R-CNN, and YOLOv8l for segmentation, to automatically monitor and detect unsafe behaviors and compliance with safety protocols. ","The main findings revealed that the YOLOv8l model outperformed other models, achieving a mean Average Precision (mAP-50) score of 0.919. Additionally, the distance-based segmentation model tailored for detecting hazardous regions showed effectiveness with an mAP-50 score of 0.857 on the provided dataset."
